coarse number
89
number of 3 aggregates
35,27,27
vertex-1-
(    0.067734,    0.018952)
(    0.072575,    0.020565)
(    0.063999,    0.006784)
(    0.068179,    0.003043)
(    0.063786,    0.013736)
(    0.076609,    0.014111)
(    0.077569,    0.010081)
(    0.073319,    0.004117)
vertex-2-
(    0.049575,    0.001004)
(    0.063999,    0.006784)
(    0.047888,    0.004247)
(    0.048623,    0.007534)
(    0.062579,   -0.002926)
(    0.064441,    0.000876)
(    0.056458,    0.010248)
(    0.057396,   -0.006142)
(    0.050133,   -0.002660)
vertex-3-
(   -0.083000,   -0.019500)
(   -0.082359,   -0.011187)
(   -0.070181,   -0.013403)
(   -0.075250,   -0.008462)
(   -0.069770,   -0.020463)
(   -0.075500,   -0.024500)
(   -0.079533,   -0.023551)
(   -0.072032,   -0.022717)
(   -0.084533,   -0.014383)
vertex-4-
(   -0.034597,   -0.012272)
(   -0.030548,    0.000798)
(   -0.036398,   -0.006088)
(   -0.027477,    0.001610)
(   -0.021018,   -0.010022)
(   -0.021309,   -0.004407)
(   -0.027540,   -0.015810)
(   -0.023335,   -0.013849)
vertex-5-
(   -0.090421,   -0.013389)
(   -0.082359,   -0.011187)
(   -0.087349,   -0.000632)
(   -0.079839,   -0.005656)
(   -0.094626,   -0.008188)
(   -0.092573,   -0.001098)
(   -0.093884,   -0.011582)
(   -0.086773,   -0.012572)
vertex-6-
(   -0.037364,    0.002551)
(   -0.046175,    0.009083)
(   -0.043159,    0.003874)
(   -0.032344,    0.004174)
(   -0.032058,    0.010590)
(   -0.039704,    0.020052)
(   -0.033895,    0.016733)
(   -0.046426,    0.013343)
(   -0.043853,    0.015904)
vertex-7-
(    0.001568,   -0.014489)
(   -0.004003,   -0.004995)
(    0.002053,   -0.012089)
(   -0.011000,   -0.020000)
(   -0.012524,   -0.011976)
(   -0.012437,   -0.014489)
(   -0.012282,   -0.005920)
(   -0.001727,   -0.020256)
vertex-8-
(   -0.076729,    0.012800)
(   -0.087349,   -0.000632)
(   -0.077036,   -0.001403)
(   -0.074489,    0.004734)
(   -0.082273,    0.019025)
(   -0.089944,    0.015620)
(   -0.091123,    0.003762)
(   -0.094098,    0.011869)
(   -0.094200,    0.006970)
vertex-9-
(   -0.050688,   -0.018476)
(   -0.044857,   -0.006428)
(   -0.057478,   -0.021022)
(   -0.063687,   -0.011413)
(   -0.061723,   -0.015081)
(   -0.054563,   -0.000313)
(   -0.061254,   -0.003450)
(   -0.062869,   -0.007188)
(   -0.046699,   -0.013189)
vertex-10-
(   -0.053000,    0.024000)
(   -0.063621,    0.016674)
(   -0.059122,    0.023675)
(   -0.046426,    0.013343)
(   -0.060911,    0.009051)
(   -0.054564,    0.007396)
(   -0.049476,    0.010284)
(   -0.046540,    0.016965)
(   -0.047379,    0.021998)
vertex-11-
(    0.076400,   -0.022475)
(    0.082113,   -0.023291)
(    0.071500,   -0.021000)
(    0.087076,   -0.014538)
(    0.084528,   -0.009400)
(    0.076901,   -0.008483)
(    0.086194,   -0.020027)
(    0.069956,   -0.012713)
(    0.069055,   -0.017578)
vertex-12-
(    0.085740,    0.003523)
(    0.092600,    0.007749)
(    0.079964,    0.003798)
(    0.088833,    0.014439)
(    0.077569,    0.010081)
(    0.085682,    0.017219)
(    0.082000,    0.017000)
(    0.079225,    0.013990)
vertex-13-
(   -0.004003,   -0.004995)
(   -0.003610,    0.012430)
(   -0.008454,    0.009462)
(    0.002756,    0.009134)
(    0.007279,    0.003024)
(    0.004872,   -0.007949)
(   -0.011638,   -0.000125)
(   -0.011175,    0.004747)
vertex-14-
(   -0.100833,    0.023076)
(   -0.111500,    0.019000)
(   -0.108371,    0.020563)
(   -0.112558,    0.015538)
(   -0.104500,    0.023500)
(   -0.096226,    0.012441)
(   -0.114963,    0.011752)
(   -0.097483,    0.016376)
(   -0.113236,    0.004484)
(   -0.098186,    0.008003)
(   -0.105421,    0.004612)
vertex-15-
(    0.015500,    0.022000)
(    0.000197,    0.016805)
(    0.015376,    0.010037)
(    0.002756,    0.009134)
(    0.010496,    0.006756)
(    0.006372,    0.023432)
(    0.002196,    0.020091)
(    0.015855,    0.014414)
(    0.017229,    0.018421)
(    0.011383,    0.023432)
vertex-16-
(   -0.017599,    0.023137)
(   -0.025198,    0.023137)
(   -0.011688,    0.019760)
(   -0.032058,    0.010590)
(   -0.012766,    0.011969)
(   -0.018381,    0.003526)
(   -0.029408,    0.004458)
(   -0.014998,    0.006886)
(   -0.031109,    0.017227)
vertex-17-
(    0.034615,    0.015965)
(    0.031931,    0.023448)
(    0.021963,    0.009885)
(    0.026455,    0.007992)
(    0.032469,    0.010049)
(    0.023000,    0.022000)
(    0.020496,    0.018547)
(    0.027031,    0.023448)
(    0.019800,    0.014670)
vertex-18-
(   -0.125000,    0.023000)
(   -0.120542,    0.022376)
